sample	Desulfohalobiaceae	Micrococcaceae	Incertae Sedis XIV	Moraxellaceae	Incertae Sedis XIII	Actinomycetaceae	Neisseriaceae	Sphingomonadaceae	Rubrobacteraceae	Enterobacteriaceae	Aeromonadaceae	Ruminococcaceae	Prevotellaceae	Bacillaceae	Vibrionaceae	Bacteroidaceae	Pasteurellaceae	Erysipelotrichaceae	Brachyspiraceae	Burkholderiaceae	Helicobacteraceae	Microbacteriaceae	Pseudomonadaceae	Porphyromonadaceae	Chromatiaceae	Rhizobiaceae	Coriobacteriaceae	Enterococcaceae	Staphylococcaceae	Flavobacteriaceae	Chloroplast	Veillonellaceae	Rikenellaceae	Succinivibrionaceae	Lactobacillaceae	Lachnospiraceae	Burkholderiales_incertae_sedis	Bradyrhizobiaceae	Streptococcaceae	Alcaligenaceae	Comamonadaceae	Caulobacteraceae	Family I	Pseudoalteromonadaceae	Eubacteriaceae	Peptostreptococcaceae	Fusobacteriaceae	Rhodocyclaceae	Desulfovibrionaceae	Propionibacteriaceae	Oceanospirillaceae	Xanthomonadaceae	Clostridiaceae
D5-640-950_1_1_430case	3	5	225	17	0	0	0	628	178	114	3	705	76	124	0	689	2	249	0	42	0	88	186	69	0	44	192	0	2	124	386	50	23	33	103	1609	38	9	125	23	296	3	0	0	23	49	37	46	0	2	0	69	5
D5-650-400_2_1_1115case	0	0	298	0	0	0	0	773	1	106	4	257	22	14	0	401	16	143	0	15	20	6	13	675	1	0	25	0	0	0	62	50	87	0	0	1985	0	4	25	0	14	6	0	14	40	11	0	5	0	2	3	4	0
D5-631-924_1_1_213case	0	0	628	63	0	0	2	23	8	391	7	1417	9	1	3	5411	15	264	0	2	1	1	12	40	0	1	435	0	0	35	15	83	2	4	27	6022	21	2	16	43	108	0	1	6	16	162	1	5	2	4	2	2	1
D5-634-096A_2_1_1207case	6	5	183	2	0	0	5	476	0	48	12	854	25	4	1	210	0	54	0	1	0	3	13	104	7	2	5	0	8	875	14	90	0	0	1	1342	50	3	63	184	50	2	0	19	53	85	1	30	0	29	15	17	8
D5-601-618_2_1_1227case	0	8	4	43	0	1	0	683	0	145	0	173	6	50	6	292	0	25	0	23	26	26	90	26	0	6	11	0	0	149	288	13	1	0	47	758	14	236	75	55	438	1	0	0	40	8	0	136	9	10	7	31	4
D5-601-120_2_1_63control	0	1	300	0	0	0	0	78	0	47	4	118	7	0	8	1295	6	84	0	0	0	3	7	24	7	0	40	0	4	0	1	7	0	0	0	943	0	1	14	0	2	0	0	17	0	22	0	0	0	13	17	0	0
D5-603-574_2_1_213control	0	0	60	0	1	1	1	32	0	25	4	466	1	3	1	30	28	900	0	1	0	0	0	32	0	0	56	433	3	1	1	184	2	0	0	3038	1	1	137	0	6	0	0	2	0	0	0	1	0	0	0	1	0
D5-604-556_2_1_1261case	0	7	256	0	4	1	0	39	0	39	0	2440	3	32	0	4789	0	148	0	3	0	23	83	39	0	8	114	0	0	8	157	44	5	0	6	2388	0	1	13	225	51	1	0	0	15	17	0	1	0	0	0	61	0
D5-646-480_1_1_450case	0	1	390	12	0	1	9	129	62	277	16	1026	109	20	16	1812	101	145	0	22	4	28	67	149	4	16	267	0	1	59	135	93	52	37	18	3174	28	1	53	79	100	2	0	20	132	1	3	16	0	9	23	11	10
D5-604-416_2_1_577control	1	0	367	0	0	1	0	38	0	532	0	1060	26	1	1	861	4	65	0	0	0	0	35	687	0	0	86	0	0	408	2	261	205	0	0	2435	0	0	9	202	0	0	0	0	316	5	0	0	0	3	0	0	2
D5-608-055_2_1_1389case	2	7	8	4	0	0	17	766	0	49	21	86	55	3	18	852	0	65	0	13	0	9	31	131	18	1	5	0	9	31	88	61	70	0	4	263	0	9	65	63	18	6	0	65	0	0	0	12	0	13	21	6	0
D5-647-950_1_1_576case	0	1	381	6	16	0	18	99	1	66	29	362	6	41	36	1595	0	82	0	6	5	11	22	76	21	4	140	0	0	12	82	44	55	1	42	599	16	4	84	129	23	0	0	74	3	10	4	2	0	4	50	8	0
D5-604-978_2_1_332control	0	4	94	2	3	0	1	57	0	7	7	701	34	2	0	721	0	7	0	0	0	3	0	34	2	0	31	0	0	0	3	27	0	0	0	850	0	0	19	18	1	0	0	7	181	5	1	0	19	3	12	1	0
D5-638-082_1_1_380case	0	4	1482	59	3	0	0	172	10	35	3	530	336	80	1	346	0	144	0	1	8	28	71	96	3	17	66	1	1	96	104	77	30	5	25	1679	51	3	43	37	336	0	2	2	151	21	9	32	44	21	5	22	0
D5-605-326_2_1_82control	0	0	48	0	5	1	1	7	0	47	0	388	8	0	0	1126	0	389	0	0	0	0	0	273	0	0	117	0	0	213	0	90	0	0	0	4002	0	0	9	32	0	0	0	0	36	0	0	0	0	2	1	0	16
D5-605-604_2_1_635control	0	3	118	0	12	0	1	14	0	221	0	937	14	1	1	2467	0	91	0	0	0	0	1	47	0	0	29	0	0	89	0	102	6	0	0	2979	1	1	8	398	1	0	0	0	1948	65	0	0	0	1	0	0	1
D5-654-324_1_1_635case	0	3	472	12	4	0	0	114	0	21	1	1024	13	13	6	919	0	341	0	6	4	3	21	105	0	1	7	0	1	35	44	64	72	8	555	1067	47	2	33	60	62	0	0	2	3	2	1	1	16	6	0	6	10
D5-646-904_1_1_515case	0	0	69	88	0	0	0	122	21	111	0	280	461	40	0	160	1	68	2	19	6	30	76	60	1	14	15	0	16	75	300	22	6	111	59	402	58	12	37	6	224	1	2	0	11	25	2	13	1	34	0	21	28
D5-649-840_2_1_1031control	0	0	179	0	6	0	0	32	0	9	1	594	0	0	2	223	1	275	0	1	0	0	0	32	1	0	26	0	0	591	0	19	14	0	0	1369	0	0	10	0	0	0	0	6	0	0	0	0	0	0	4	0	1
D5-623-734_2_1_1170control	0	0	465	0	7	0	2	28	1	249	0	309	2	0	3	1979	7	934	0	17	0	1	4	360	0	0	41	0	0	5	1	33	78	0	0	1996	0	2	402	0	6	0	0	8	0	24	0	1	0	3	3	0	161
D5-630-521_1_1_577case	0	0	284	42	0	0	1	185	32	64	2	241	317	54	3	562	0	235	0	26	5	20	39	80	1	14	23	0	0	199	119	33	14	79	76	791	58	0	140	28	166	0	0	11	6	89	3	11	3	9	6	15	22
D5-631-222_1_1_772case	0	1	235	12	5	2	0	218	8	142	9	3229	182	43	3	746	10	104	0	10	3	14	60	81	3	4	47	0	0	305	359	27	79	60	154	1245	14	178	60	43	46	1	0	4	152	11	8	13	0	4	1	11	11
D5-686-456_1_1_63case	1	3	860	146	6	0	4	322	28	63	18	697	75	61	8	1084	5	188	0	22	5	9	68	124	8	8	245	0	0	141	100	66	72	16	90	2822	94	1	90	58	263	1	1	72	45	17	5	19	2	43	42	13	0
D5-604-622_1_1_972control	0	0	573	43	9	3	5	444	283	74	10	1115	698	33	16	1288	6	693	0	6	3	42	49	139	9	30	198	0	9	219	159	87	28	261	70	2144	23	1	82	63	420	3	1001	16	85	41	86	51	2	22	17	32	8
D5-641-588_1_1_899case	0	6	728	14	10	0	1	241	2	32	17	322	25	31	11	954	0	629	0	7	6	16	22	120	9	6	64	0	1	28	75	46	16	1	31	1515	16	1	78	49	35	0	4	21	10	9	121	3	4	1	17	7	0
D5-647-398_1_1_965control	1	9	879	10	4	7	44	680	23	189	118	527	143	105	59	746	13	172	0	16	11	26	98	55	35	31	86	0	5	374	210	28	33	8	74	1854	18	15	234	107	159	0	1	151	7	18	5	22	0	13	205	24	0
D5-650-897_2_1_1control	0	1	222	71	1	1	0	42	0	169	0	931	3	541	0	931	3	58	0	1	5	3	20	39	0	1	30	0	2	24	41	1	43	0	10	1273	0	13	25	118	45	0	0	0	234	50	0	7	0	9	0	5	0
D5-606-935_2_1_1302case	0	0	80	0	3	0	3	88	0	231	9	213	2	2	8	1036	0	12	0	0	0	0	2	9	3	1	17	0	1	543	1	32	3	0	0	319	0	0	17	19	3	1	0	14	1	2	0	3	0	1	25	0	1
D5-646-550_2_1_972control	0	0	311	0	0	4	0	185	0	1	3	66	9	0	1	1190	2	34	0	2	3	3	3	0	0	0	42	0	0	3	16	2	0	0	1	1437	0	0	48	26	7	0	0	0	20	0	0	0	0	21	0	1	0
D5-609-106_2_1_684control	0	0	322	6	0	0	4	236	0	42	21	1038	9	0	25	791	3	52	391	29	0	7	22	63	7	0	69	0	0	177	16	49	39	0	2	1736	0	1	57	5	39	0	0	64	0	0	0	6	0	1	41	0	0
D5-636-542_2_1_450control	0	0	74	0	0	9	0	13	0	1117	1	69	0	0	0	137	7	426	1	0	0	0	0	9	0	0	220	0	0	64	0	28	4	0	0	1226	0	0	35	27	1	0	0	9	0	0	0	0	0	0	6	0	301
