nc101_code	D2_01	D2_02
NC101_01152	23	6
NC101_01153	4	2
NC101_01154	851	459
NC101_01155	32	9
NC101_01156	8	0
NC101_01157	21	12
NC101_01158	22	4
NC101_01159	77	20
NC101_01160	47	20
NC101_01161	155	66
NC101_01162	6	6
NC101_01163	8	5
NC101_01164	9	4
NC101_01165	63	13
NC101_01166	3	2
NC101_01167	83	55
NC101_01168	36	10
NC101_01169	52	14
NC101_01170	10	2
NC101_01171	4	0
NC101_01172	0	0
NC101_01173	0	4
NC101_01174	101	18
NC101_01175	20	17
NC101_01176	21	1
NC101_01177	6	4
NC101_01178	29	9
NC101_01179	160	43
NC101_01180	57	16
NC101_01181	55	21
NC101_01182	103	59
NC101_01183	54	7
NC101_01184	316	79
NC101_01185	306	70
NC101_01186	571	90
NC101_01187	110	54
NC101_01188	48	29
NC101_01189	99	41
NC101_01190	81	28
NC101_01191	37	6
NC101_01195	206	46
NC101_01196	288	56
NC101_01197	275	61
NC101_01198	156	75
NC101_01199	23	7
NC101_01200	39	26
NC101_01201	70	15
NC101_01202	21	5
NC101_01203	81	18
NC101_01204	366	147
NC101_01205	395	147
NC101_01206	5	8
NC101_01207	183	87
NC101_01208	163	74
NC101_01209	243	125
NC101_01210	241	133
NC101_01211	164	53
NC101_01212	228	78
NC101_01213	30	20
NC101_01214	31	23
NC101_01215	36	23
NC101_01216	310	136
NC101_01217	7	3
NC101_01218	32	26
NC101_01219	18	4
NC101_01220	36	9
NC101_01221	43	11
NC101_01222	10	5
NC101_01223	114	23
NC101_01224	59	20
NC101_01225	26	7
NC101_01226	31	6
NC101_01227	761	482
NC101_01228	481	221
NC101_01229	470	237
NC101_01230	61	33
NC101_01231	217	120
NC101_01232	30	33
NC101_01233	782	506
NC101_01234	450	205
NC101_01235	171	54
NC101_01236	116	35
NC101_01237	40	10
NC101_01238	11	8
NC101_01239	85	18
NC101_01240	258	104
NC101_01241	24	4
NC101_01242	47	5
NC101_01243	81	32
NC101_01244	24	8
NC101_01245	56	11
NC101_01246	10	6
NC101_01247	0	0
NC101_01248	2	2
NC101_01249	2	0
NC101_01250	0	0
NC101_01251	1	0
NC101_01252	22	9
NC101_01253	366	280
NC101_01254	82	84
NC101_01255	117	78
NC101_01256	60	23
NC101_01257	42	8
NC101_01258	237	64
NC101_01266	159	22
NC101_01267	92	51
NC101_01268	228	83
NC101_01269	107	15
NC101_01270	267	82
NC101_01271	32	14
NC101_01272	11	4
NC101_01273	2	2
NC101_01274	170	42
NC101_01275	14	9
NC101_01276	6	10
NC101_01277	16	7
NC101_01278	209	49
NC101_01279	867	329
NC101_01280	242	85
NC101_01281	75	19
NC101_01282	59	19
